binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
even,65536,concentrated:0.0,default,2695.52,1,0,2694.6;2698.6;2695.5
even,65536,hash_synonym,default,989.29,1,0,989.3;988.6;989.4
even,65536,powerlaw:0.5,default,806.58,1,0,806.5;806.8;806.6
even,65536,stale_resident,default,548.09,1,0,548.1;548.2;548.1
even,65536,concentrated:0.0,gmem_privatized_nocache,2694.74,1,0,2694.7;2693.4;2696.1
even,65536,hash_synonym,gmem_privatized_nocache,988.96,1,0,989.0;988.7;989.1
even,65536,powerlaw:0.5,gmem_privatized_nocache,806.56,1,0,806.6;806.8;806.2
even,65536,stale_resident,gmem_privatized_nocache,548.23,1,0,548.4;548.2;547.9
even,65536,concentrated:0.0,direct_cuckoo,1928.31,1,1,1928.3;1930.1;1927.0
even,65536,hash_synonym,direct_cuckoo,746.67,1,1,746.7;748.9;745.9
even,65536,powerlaw:0.5,direct_cuckoo,573.88,1,1,573.9;573.7;574.1
even,65536,stale_resident,direct_cuckoo,473.48,1,1,473.7;473.5;473.5
even,65536,concentrated:0.0,direct_single_probe,1923.30,1,1,1923.5;1923.2;1923.3
even,65536,hash_synonym,direct_single_probe,764.91,1,1,764.8;764.9;764.9
even,65536,powerlaw:0.5,direct_single_probe,590.90,1,1,590.8;590.9;591.1
even,65536,stale_resident,direct_single_probe,492.04,1,1,492.0;492.2;492.0
even,65536,concentrated:0.0,gmem_privatized_cuckoo,1458.87,1,1,1458.6;1458.9;1459.1
even,65536,hash_synonym,gmem_privatized_cuckoo,641.41,1,1,641.4;641.2;641.6
even,65536,powerlaw:0.5,gmem_privatized_cuckoo,529.08,1,1,528.8;529.1;529.4
even,65536,stale_resident,gmem_privatized_cuckoo,432.15,1,1,432.2;432.1;432.1
even,65536,concentrated:0.0,gmem_privatized_single_probe,1453.53,1,1,1453.5;1453.5;1454.5
even,65536,hash_synonym,gmem_privatized_single_probe,653.84,1,1,653.3;654.0;653.8
even,65536,powerlaw:0.5,gmem_privatized_single_probe,543.35,1,1,543.3;543.3;543.4
even,65536,stale_resident,gmem_privatized_single_probe,444.39,1,1,444.4;444.4;444.5
even,262144,concentrated:0.0,default,1910.56,1,0,1911.1;1910.6;1908.0
even,262144,hash_synonym,default,497.42,1,0,497.4;497.3;497.9
even,262144,powerlaw:0.5,default,673.62,1,0,672.8;673.6;673.6
even,262144,stale_resident,default,449.96,1,0,449.6;454.2;450.0
even,262144,concentrated:0.0,gmem_privatized_nocache,1911.33,1,0,1911.1;1911.3;1911.6
even,262144,hash_synonym,gmem_privatized_nocache,497.91,1,0,497.3;498.0;497.9
even,262144,powerlaw:0.5,gmem_privatized_nocache,673.05,1,0,673.0;673.1;672.6
even,262144,stale_resident,gmem_privatized_nocache,449.87,1,0,449.8;449.9;450.0
even,262144,concentrated:0.0,direct_cuckoo,1928.78,1,1,1928.8;1929.8;1928.5
even,262144,hash_synonym,direct_cuckoo,617.28,1,1,617.3;617.3;617.3
even,262144,powerlaw:0.5,direct_cuckoo,570.18,1,1,570.2;569.9;570.4
even,262144,stale_resident,direct_cuckoo,493.44,1,1,493.4;493.7;493.4
even,262144,concentrated:0.0,direct_single_probe,1928.85,1,1,1931.9;1927.9;1928.9
even,262144,hash_synonym,direct_single_probe,617.27,1,1,617.2;617.3;617.3
even,262144,powerlaw:0.5,direct_single_probe,570.11,1,1,570.0;570.1;570.1
even,262144,stale_resident,direct_single_probe,493.43,1,1,493.7;493.3;493.4
even,262144,concentrated:0.0,gmem_privatized_cuckoo,1012.79,1,1,1012.8;1013.0;1012.6
even,262144,hash_synonym,gmem_privatized_cuckoo,414.25,1,1,414.4;414.0;414.2
even,262144,powerlaw:0.5,gmem_privatized_cuckoo,415.00,1,1,414.8;415.0;415.0
even,262144,stale_resident,gmem_privatized_cuckoo,381.68,1,1,381.6;381.8;381.7
even,262144,concentrated:0.0,gmem_privatized_single_probe,1009.90,1,1,1009.9;1010.0;1009.7
even,262144,hash_synonym,gmem_privatized_single_probe,418.90,1,1,419.0;418.9;418.8
even,262144,powerlaw:0.5,gmem_privatized_single_probe,425.23,1,1,425.2;425.2;425.6
